coach,pass_rate
Mike Nolan,0.592689295
Norv Turner,0.57441815
Tony Dungy,0.628431373
John Harbaugh,0.549887778
Romeo Crennel,0.558312655
Lane Kiffin,0.451882845
Mike Smith,0.594112162
Mike Tomlin,0.604606526
Jeff Fisher,0.557893361
Bill Belichick,0.5829928
Mike McCarthy,0.604787193
Tony Sparano,0.567087524
Dick Jauron,0.546575342
Andy Reid,0.60198793
Sean Payton,0.608193199
Tom Coughlin,0.582829361
Jon Gruden,0.577833126
Jack Del Rio,0.577609277
John Fox,0.550023618
Rod Marinelli,0.613611416
Brad Childress,0.539726986
Ken Whisenhunt,0.637515843
Eric Mangini,0.541535226
Jim Zorn,0.570050761
Scott Linehan,0.616438356
Herm Edwards,0.60800843
Wade Phillips,0.605357143
Mike Shanahan,0.595233482
Mike Holmgren,0.551948052
Marvin Lewis,0.572726471
Lovie Smith,0.571801946
Gary Kubiak,0.577071404
Jim Haslett,0.570673712
Tom Cable,0.537030004
Mike Singletary,0.59535865
Raheem Morris,0.601059381
Jim Caldwell,0.638616558
Jim Mora,0.626320845
Josh McDaniels,0.606502242
Jim Schwartz,0.634926471
Rex Ryan,0.508528408
Todd Haley,0.526351814
Steve Spagnuolo,0.597243033
Perry Fewell,0.527415144
Chan Gailey,0.581499312
Pete Carroll,0.545203415
Jason Garrett,0.57628845
Leslie Frazier,0.551593101
Eric Studesville,0.512
Jim Tomsula,0.602955665
Pat Shurmur,0.623923209
Jim Harbaugh,0.508949059
Mike Munchak,0.59612113
Ron Rivera,0.565844579
Hue Jackson,0.60354032
Mel Tucker,0.533112583
Todd Bowles,0.580172828
Greg Schiano,0.58540294
Dennis Allen,0.611308994
Aaron Kromer,0.7039801
Mike Mularkey,0.579238529
Chuck Pagano,0.61410663
Joe Philbin,0.629576795
Joe Vitt,0.632307692
Marc Trestman,0.631184408
Mike McCoy,0.598969314
Gus Bradley,0.640417941
Rob Chudzinski,0.680037313
Doug Marrone,0.584164493
Bruce Arians,0.61975341
Chip Kelly,0.569296375
Bill O'Brien,0.564769097
Jay Gruden,0.605681818
Mike Zimmer,0.570797681
Mike Pettine,0.586105675
Dan Quinn,0.620516375
Doug Pederson,0.6
Ben McAdoo,0.626318712
Adam Gase,0.595794393
Dirk Koetter,0.616316125
Kyle Shanahan,0.570249882
Sean McVay,0.582264485
Vance Joseph,0.598554217
Sean McDermott,0.566820276
Anthony Lynn,0.605095541
Frank Reich,0.582795699
Matt Patricia,0.610394397
Steve Wilks,0.611607143
Mike Vrabel,0.514368744
Matt Nagy,0.600696643
Gregg Williams,0.604856512
Brian Flores,0.626791893
Kliff Kingsbury,0.584143969
Freddie Kitchens,0.599793175
Vic Fangio,0.578117048
Matt LaFleur,0.592892488
Zac Taylor,0.621673924
Bill Callahan,0.559800664
Matt Rhule,0.596741344
Joe Judge,0.598947368
Kevin Stefanski,0.528419183
Darrell Bevell,0.659863946
