Year,Position,Name,ALRAS,RAS
1987,QB,Vinny Testaverde,8.01,10
1996,QB,Brook Berringer,9.13,10
1999,QB,Daunte Culpepper,9.99,10
2011,QB,Cam Newton,10,10
2002,QB,Josh McCown,9.99,9.96
1999,QB,Akili Smith,9.62,9.95
2019,QB,Tyree Jackson,9.95,9.95
1998,QB,Paul Kaiser,8.33,9.94
2014,QB,Logan Thomas,9.93,9.94
2015,QB,Marcus Mariota,9.96,9.94
2006,QB,Quinton Porter,9.88,9.93
2003,QB,Kyle Boller,9.78,9.92
2010,QB,Tim Tebow,9.83,9.92
2011,QB,Blaine Gabbert,9.92,9.92
2000,QB,Chad Pennington,9.06,9.91
2001,QB,Quincy Carter,9.53,9.91
2015,QB,Brett Hundley,9.9,9.9
2017,QB,Zach Conque,9.91,9.9
2005,QB,Adrian McPherson,9.58,9.89
2007,QB,Brady Quinn,9.8,9.88
2012,QB,Robert Griffin,9.87,9.88
2001,QB,Mike McMahon,9.36,9.87
2006,QB,Barrick Nealy,9.67,9.87
1991,QB,Deron Smith,8.89,9.86
1995,QB,Kordell Stewart,9.44,9.85
2011,QB,Colin Kaepernick,9.86,9.85
2002,QB,Ronald Curry,9.31,9.83
1990,QB,Neil O’Donnell,6.82,9.82
1993,QB,Eric Hunter,8.97,9.82
2000,QB,Tee Martin,9.39,9.81
2004,QB,J.P. Losman,9.48,9.81
2012,QB,Jordan Jefferson,9.79,9.81
1999,QB,Scott Dreisbach,8.65,9.8
1992,QB,Keithen Mccant,8.09,9.79
2012,QB,Andrew Luck,9.84,9.79
2004,QB,Luke McCown,9.51,9.77
2011,QB,Jake Locker,9.77,9.77
1994,QB,Perry Klein,7.67,9.76
2000,QB,Giovanni Carmazzi,9.1,9.76
1989,QB,Terrence Jones,7.58,9.75
2019,QB,John Lovett,9.74,9.74
1993,QB,Elvis Grbac,7.85,9.73
2019,QB,Taylor Cornelius,9.73,9.73
2007,QB,Jared Zabransky,9.54,9.72
2011,QB,Tyrod Taylor,9.7,9.72
2012,QB,Dominique Davis,9.82,9.7
2013,QB,EJ Manuel,9.69,9.7
2014,QB,Brendon Kay,9.75,9.7
2016,QB,Jason Vander Laan,9.71,9.69
1994,QB,Doug Nussmeier,7.49,9.67
1996,QB,Bobby Hoying,8.59,9.66
2002,QB,David Carr,9.08,9.66
1990,QB,Troy Taylor,7.8,9.65
2018,QB,Josh Allen,9.64,9.65
2008,QB,Kevin O’Connell,9.32,9.64
2016,QB,Carson Wentz,9.66,9.62
2010,QB,Erik Glavic,9.24,9.6
2016,QB,Cardale Jones,9.56,9.6
1999,QB,Mark Garcia,8.11,9.59
2017,QB,Josh Dobbs,9.61,9.58
2017,QB,Taysom Hill,9.65,9.58
2011,QB,Christian Ponder,9.47,9.55
2006,QB,Charlie Whitehurst,9.17,9.54
2017,QB,Trevor Knight,9.57,9.52
2016,QB,Jeff Driskel,9.6,9.51
2018,QB,Ryan Burns,9.52,9.51
2005,QB,David Greene,9.01,9.5
2006,QB,D.J. Shockley,9.26,9.5
2010,QB,Dan LeFevour,9.22,9.5
1999,QB,Aaron Brooks,8.7,9.49
2013,QB,Geno Smith,9.49,9.48
2005,QB,Matt Cassel,8.79,9.47
2007,QB,Troy Smith,9.27,9.47
2019,QB,Easton Stick,9.45,9.45
2001,QB,Sage Rosenfels,8.55,9.42
2005,QB,Alex Smith,8.95,9.4
2006,QB,Travis Lulay,9.09,9.4
1996,QB,Kendrick Nord,8.16,9.39
1999,QB,Donovan McNabb,8.22,9.39
2013,QB,Jeff Tuel,9.34,9.39
2017,QB,Patrick Towles,9.43,9.39
2015,QB,Cody Fajardo,9.41,9.38
2013,QB,Matt Scott,9.28,9.37
2017,QB,Davis Webb,9.4,9.37
1992,QB,Tony Sacca,6.37,9.36
1998,QB,John Dutton,6.73,9.36
2019,QB,Drew Lock,9.35,9.35
1999,QB,Graham Leigh,7.64,9.34
1995,QB,Kevin Mason,7.57,9.33
2002,QB,Patrick Ramsey,8.37,9.33
2015,QB,Nick Marshall,9.38,9.32
2010,QB,Jarrett Brown,9.14,9.31
2005,QB,Josh Haldi,8.78,9.29
1993,QB,Jamie Martin,6.55,9.27
2010,QB,Daryll Clark,9.21,9.26
2012,QB,Matt Blanchard,9.15,9.26
1987,QB,Rich Gannon,7.33,9.23
1999,QB,Cade McNown,7.53,9.23
2017,QB,Deshaun Watson,9.3,9.23
2006,QB,Jay Cutler,8.88,9.21
1988,QB,Jeff Burger,6.3,9.2
2001,QB,Josh Heupel,7.99,9.2
2002,QB,Randy Fasani,8.46,9.2
2006,QB,Ingle Martin,8.84,9.17
2001,QB,Jesse Palmer,8.29,9.16
1992,QB,David Klingler,6.5,9.15
2005,QB,Charlie Frye,8.49,9.15
2015,QB,Taylor Heinicke,9.23,9.14
1998,QB,Shane Fortney,7.06,9.13
2001,QB,David Rivers,7.98,9.12
2015,QB,Bryce Petty,9.11,9.11
2012,QB,Dan Di Lella,9.02,9.1
1993,QB,Trent Green,6.76,9.09
2002,QB,Joey Harrington,7.92,9.08
2010,QB,John Skelton,8.66,9.08
2017,QB,Antonio Pipkin,9.18,9.08
2006,QB,Marcus Vick,8.93,9.04
2011,QB,Josh Portis,8.96,9.04
1998,QB,Cory Sauter,5.46,9.02
2015,QB,Tyler Murphy,9.19,9.01
2001,QB,Marques Tuiasosopo,7.96,8.98
2006,QB,Brett Basanez,8.87,8.97
2003,QB,Seneca Wallace,8.76,8.96
2016,QB,Paxton Lynch,9.05,8.96
2018,QB,Peter Pujals,8.98,8.96
2018,QB,Troy Williams,9.01,8.95
2016,QB,Joel Stave,9.04,8.94
1999,QB,Shaun King,7.81,8.93
1993,QB,Billy Joe Hobert,6.46,8.91
2000,QB,Jarious Jackson,7.89,8.87
2004,QB,Jim Sorgi,8.35,8.85
1992,QB,Tony Lowery,7.07,8.83
2006,QB,Reggie McNeal,8.87,8.81
2017,QB,Jeremy Johnson,8.91,8.81
1988,QB,Rick Strom,5.61,8.8
2012,QB,Russell Wilson,8.82,8.8
1991,QB,Billy Ray,6.21,8.78
2006,QB,Kent Smith,8.58,8.77
2012,QB,Barrett Trotter,8.92,8.77
1993,QB,Mark Brunell,6.98,8.73
1992,QB,Brad Johnson,5.05,8.72
1999,QB,Scott Covington,7.02,8.72
2018,QB,Montell Cozart,8.83,8.72
2013,QB,B.J. Daniels,8.75,8.7
2016,QB,Josh Woodrum,8.8,8.7
2005,QB,Dustin Long,8.24,8.69
2014,QB,Kory Faulkner,8.71,8.66
2017,QB,Mitch Leidner,8.74,8.6
2006,QB,Erik Meyer,8.45,8.58
2017,QB,Justin Holman,8.72,8.58
2012,QB,Chandler Harnish,8.61,8.54
2016,QB,Kevin Hogan,8.68,8.53
2012,QB,Nick Stephens,8.54,8.52
2014,QB,Derek Carr,8.52,8.5
2017,QB,Mitchell Trubisky,8.63,8.5
2011,QB,Pat Devlin,8.32,8.49
2014,QB,Brett Smith,8.67,8.48
2003,QB,Kliff Kingsbury,7.55,8.47
1987,QB,Don Majkowski,7.24,8.46
1997,QB,Brad Otton,4.57,8.45
2012,QB,Zach Collaros,8.53,8.43
2014,QB,Brock Jensen,8.48,8.42
1988,QB,Don Mcpherson,8.06,8.4
2013,QB,Matt Brown,8.57,8.39
2015,QB,Garrett Grayson,8.62,8.39
1994,QB,Jay Fiedler,6.21,8.37
2018,QB,Kyle Postma,8.5,8.37
2002,QB,Greg Zolman,7.3,8.36
2018,QB,Kyle Lauletta,8.44,8.36
2012,QB,Austin Davis,8.15,8.33
1997,QB,Jim Druckenmiller,5.76,8.32
1998,QB,Charlie Batch,5.29,8.32
2007,QB,John Beck,8.28,8.32
2014,QB,Johnny Manziel,8.14,8.32
2018,QB,Danny Etling,8.41,8.32
2019,QB,Trace McSorley,8.32,8.32
1992,QB,Matt Veatch,4.91,8.3
2002,QB,David Garrard,7.25,8.28
2019,QB,Sam Straub,8.28,8.28
2005,QB,Bryan Randall,7.62,8.26
2006,QB,Bruce Gradkowski,8.02,8.25
2016,QB,Christian Hackenberg,8.42,8.24
1999,QB,Anthony Wright,6.77,8.21
2004,QB,Cody Pickett,7.11,8.21
2016,QB,Dak Prescott,8.4,8.21
2017,QB,Patrick Mahomes,8.39,8.21
2015,QB,Brandon Bridge,8.23,8.17
2008,QB,Joe Flacco,7.79,8.14
2012,QB,Jacory Harris,8.2,8.13
2019,QB,Drew Anderson,8.13,8.13
2017,QB,Eli Jenkins,8.36,8.11
2019,QB,Daniel Jones,8.1,8.1
1992,QB,Chris Pederson,5.36,8.09
1997,QB,Jason Davis,4.39,8.07
2009,QB,Jason Boltus,7.46,8.07
2019,QB,Jalan McClendon,8.07,8.07
2012,QB,Kyle Graves,7.88,8.06
2019,QB,Keller Chryst,8.05,8.05
2012,QB,Darron Thomas,8.26,8.03
2019,QB,Taryn Christion,8.03,8.03
2004,QB,Bradlee Van Pelt,7.19,8.02
1999,QB,Joe Germaine,5.91,8.01
2007,QB,Drew Stanton,7.77,8.01
2002,QB,Brandon Doman,6.78,7.98
2004,QB,Craig Krenzel,6.67,7.98
2013,QB,MarQueis Gray,8.18,7.96
1999,QB,Mike Cook,5.52,7.91
2004,QB,Jason Fife,6.59,7.9
2016,QB,Blake Frohnapfel,7.94,7.89
2010,QB,Zac Robinson,7.51,7.86
2018,QB,Alex McGough,7.9,7.86
2019,QB,Trevor Knight,7.86,7.86
2007,QB,Jeff Rowe,7.4,7.85
2009,QB,Stephen McGee,7.34,7.85
1991,QB,Donald Hollas,3.4,7.84
2017,QB,Dan Collins,8.19,7.84
2001,QB,Cleo Lemon,6.15,7.83
2011,QB,Jerrod Johnson,7.45,7.83
2019,QB,Ryan Finley,7.83,7.83
2009,QB,Rhett Bomar,7.28,7.82
1999,QB,Kevin Daft,5.38,7.81
1992,QB,Will Furrer,4.47,7.77
2014,QB,D.J. Mendenhall,7.76,7.77
2015,QB,Bryan Bennett,7.97,7.76
2001,QB,Drew Brees,6.05,7.74
1990,QB,Tony Rice,6.03,7.72
2008,QB,Josh Johnson,7.42,7.72
2003,QB,D Bryant,6.63,7.71
2011,QB,Jeff Van Camp,7.36,7.71
1987,QB,Chris Miller,7.01,7.69
2019,QB,Hasaan Klugh,7.68,7.68
2017,QB,C.J. Beathard,7.93,7.66
2014,QB,Blake Bortles,7.5,7.65
2018,QB,Andrew Elffers,7.71,7.65
2014,QB,Drew Allen,7.54,7.63
2005,QB,Stefan LeFors,6.86,7.62
2017,QB,Perry Hills,7.84,7.6
2019,QB,Eric Dungey,7.6,7.6
2019,QB,Nick Fitzgerald,7.59,7.59
2011,QB,Greg McElroy,7.75,7.58
2001,QB,Tim Hasselbeck,5.66,7.57
1996,QB,Tony Banks,4.9,7.55
2000,QB,Spergon Wynn,5.56,7.55
2006,QB,Tarvaris Jackson,7.16,7.55
2016,QB,Liam Nadler,7.66,7.53
2008,QB,Matt Flynn,7.08,7.51
2016,QB,Connor Cook,7.72,7.51
1989,QB,Bob Jean,5.23,7.5
2017,QB,Dakota Prukop,7.7,7.48
2008,QB,Brian Brohm,6.93,7.46
1992,QB,Casey Weldon,4.58,7.45
2005,QB,Ryan Fitzpatrick,6.42,7.45
2012,QB,G.J. Kinne,7.38,7.41
2018,QB,Reggie Bell,7.47,7.41
2009,QB,Pat White,7.17,7.4
1995,QB,Stoney Case,4.82,7.39
2003,QB,Chris Simms,5.92,7.39
2015,QB,Jameill Showers,7.73,7.37
1999,QB,Tim Couch,5.21,7.35
2014,QB,Terrance Owens,7.63,7.35
1998,QB,Dan Gonzalez,3.67,7.34
1997,QB,Chuck Clements,3.16,7.33
2003,QB,Juston Wood,6.04,7.31
1991,QB,Dan Mcgwire,5.68,7.3
2008,QB,Andre Woodson,6.64,7.28
1993,QB,John Bonds,4.7,7.27
2013,QB,Myles Gibbon,7.29,7.27
1989,QB,Anthony Dilweg,4.09,7.25
1995,QB,Todd Collins,4.56,7.24
2001,QB,Ortege Jenkins,5.43,7.21
2019,QB,Will Grier,7.21,7.21
2007,QB,Trent Edwards,6.9,7.2
2013,QB,Collin Klein,7.04,7.2
2019,QB,Arion Worthman,7.2,7.2
2014,QB,Connor Shaw,7.37,7.19
2017,QB,Garrett Anderson,7.43,7.19
1993,QB,Shane Matthews,4.53,7.18
2013,QB,Colby Cameron,7.14,7.18
2005,QB,Aaron Rodgers,6.38,7.16
2017,QB,Shazzon Mumphrey,7.41,7.16
2014,QB,Teddy Bridgewater,7.23,7.15
1992,QB,Mike Pawlawski,3.89,7.13
1992,QB,T.J. Rubley,4.26,7.13
2017,QB,Joe Hubener,7.32,7.13
2004,QB,Scott Rislov,6.13,7.1
2010,QB,Tim Hiller,6.94,7.1
2006,QB,Omar Jacobs,6.48,7.09
2018,QB,Chris Streveler,7.15,7.09
2010,QB,Colt McCoy,6.68,7.04
1990,QB,Clemente Gordon,3.39,7.02
2015,QB,Blake Sims,7.12,7.02
1989,QB,Eric Jones,5.55,7
2017,QB,Austin Apodaca,7.27,7
1999,QB,Chris Greisen,4.13,6.99
2001,QB,Romaro Miller,5.73,6.99
2019,QB,Michael OConner,6.99,6.99
2014,QB,Jordan Lynch,6.97,6.98
2019,QB,Giovanni Rescigno,6.95,6.95
1998,QB,Thad Busby,4.08,6.94
2010,QB,Jonathan Crompton,6.65,6.94
1987,QB,Cody Carlson,5.94,6.92
2018,QB,Josh Rosen,6.89,6.89
2017,QB,Nathan Peterman,7.1,6.87
1990,QB,Frank Baur,3.78,6.84
2009,QB,Josh Freeman,6.58,6.84
1997,QB,Wally Richardson,3.53,6.83
2018,QB,Connor Jessop,6.85,6.82
2017,QB,Matt Davis,7.03,6.81
1988,QB,Chris Chandler,3.96,6.8
2008,QB,Bernard Morris,6.39,6.8
2019,QB,JaJuan Lawson,6.8,6.8
2007,QB,Kevin Kolb,6.33,6.79
